# Order
title,price,discprice,discount,fprice

# less then 2$
The Letter - Horror Visual Novel, 21.99, 6.59, 70%, 6.59
War for the Overworld, 32.99, 6.59, 80%, 6.59
Wayward, 8.79, 6.59, 25%, 6.59
Mango, 11.49, 6.66, 42%, 6.66
Vampire: The Masquerade - The New York Bundle, 37.28, 6.68, 82%, 6.68
Castle Story + OST Bundle, 39.48, 6.70, 83%, 6.70
VirtuaVerse + Soundtrack, 24.98, 6.73, 73%, 6.73
Iratus: Lord of the Dead, 33.99, 6.79, 80%, 6.79
Rise of Industry, 33.99, 6.79, 80%, 6.79
Starbound, 16.99, 6.79, 60%, 6.79
Transport Fever, 33.99, 6.79, 80%, 6.79
Baldur's Gate: Enhanced Edition, 22.79, 6.83, 70%, 6.83
Baldur's Gate II: Enhanced Edition, 22.79, 6.83, 70%, 6.83
Dungeons 2, 22.79, 6.83, 70%, 6.83
For The King, 22.79, 6.83, 70%, 6.83
Gibbous -  A Cthulhu Adventure, 22.79, 6.83, 70%, 6.83
Neverwinter Nights: Enhanced Edition, 22.79, 6.83, 70%, 6.83
Contraption Maker, 11.49, 6.89, 40%, 6.89
Ara Fell: Enhanced Edition, 17.49, 6.99, 60%, 6.99
Besiege, 17.49, 6.99, 60%, 6.99
Lucah: Born of a Dream, 17.49, 6.99, 60%, 6.99
Reassembly, 17.49, 6.99, 60%, 6.99
Rise of the Tomb Raider™, 34.99, 6.99, 80%, 6.99
Sparkles & Gems, 17.49, 6.99, 60%, 6.99
Train Valley 2, 17.49, 6.99, 60%, 6.99
Turnip Boy Commits Tax Evasion, 17.49, 6.99, 60%, 6.99

# less then 8$
shapez Full Edition, 17.68, 7.06, 60%, 7.06
SUNLESS SEA, 20.99, 7.13, 66%, 7.13
Startup Company, 14.49, 7.24, 50%, 7.24
Pyre: Soundtrack Edition, 34.28, 7.28, 78%, 7.28
A Boy and His Blob, 10.99, 7.36, 33%, 7.36
Ultimate Racing 2D 2, 10.99, 7.36, 33%, 7.36
Easy Red 2, 8.99, 7.37, 18%, 7.37
Deus Ex: Mankind Divided - Digital Deluxe Edition, 49.98, 7.41, 85%, 7.41
Impostor Factory, 11.49, 7.46, 35%, 7.46
Tandem: A Tale of Shadows, 14.99, 7.49, 50%, 7.49
Total War: MEDIEVAL II – Definitive Edition, 29.99, 7.49, 75%, 7.49
Pathway, 18.99, 7.59, 60%, 7.59
Sundered Game + Soundtrack, 33.78, 7.59, 77%, 7.59
Dungreed, 11.49, 7.69, 33%, 7.69
OneShot, 10.99, 7.69, 30%, 7.69
The Zachtronics Solitaire Collection, 11.49, 7.69, 33%, 7.69
Deep Space Battle Simulator, 11.99, 7.79, 35%, 7.79
Pictopix, 7.79,0, 0%, 7.79
ROCKETSROCKETSROCKETS, 7.79,0, 0%, 7.79
Kingdom Rush Origins - Tower Defense, 17.49, 7.87, 55%, 7.87
Little Misfortune, 22.79, 7.97, 65%, 7.97
Mists of Noyah, 22.79, 7.97, 65%, 7.97
Holobunnies: Pause Café DX, 7.98,0, 0%, 7.98
Desktop Dungeons, 15.99, 7.99, 50%, 7.99
Feartress, 7.99,0, 0%, 7.99
Oscura: Lost Light, 7.99,0, 0%, 7.99
Sex Robot Road Trip: Highway to Harrisburg, 7.99,0, 0%, 7.99
Sid Meier’s Civilization® VI, 79.99, 7.99, 90%, 7.99
XCOM® 2, 79.99, 7.99, 90%, 7.99

# less then 9$
Synergia, 13.49, 8.09, 40%, 8.09
Ostalgie: The full pack of DLCs!, 20.41, 8.11, 60%, 8.11
Battle Chasers: Nightwar, 32.99, 8.24, 75%, 8.24
BioShock Infinite, 32.99, 8.24, 75%, 8.24
Pillars of Eternity, 32.99, 8.24, 75%, 8.24
The Escapists 2 - Game of the Year Edition, 39.95, 8.25, 79%, 8.25
Gibbous - A Cthulhu Adventure Deluxe Edition, 30.83, 8.31, 73%, 8.31
War for the Overworld Underlord Edition, 43.98, 8.34, 81%, 8.34
7 Days to Die, 27.99, 8.39, 70%, 8.39
ATOM RPG Trudograd, 11.99, 8.39, 30%, 8.39
Drunken Robot Pornography, 16.99, 8.49, 50%, 8.49
Geometry Wars™ 3: Dimensions Evolved, 16.99, 8.49, 50%, 8.49
Heliborne Collection, 33.99, 8.49, 75%, 8.49
Prison Architect, 33.99, 8.49, 75%, 8.49
Tyranny, 33.99, 8.49, 75%, 8.49
No one lives under the lighthouse Supporter Pack, 12.64, 8.52, 32%, 8.52
This Is the Police Bundle, 37.98, 8.53, 77%, 8.53
Perfect Heist 2, 11.49, 8.61, 25%, 8.61
As Far As The Eye, 28.99, 8.69, 70%, 8.69
The Hand of Glory, 21.79, 8.71, 60%, 8.71
Touhou Monster TD ~ 幻想乡妖怪塔防, 21.79, 8.71, 60%, 8.71
Day of Infamy, 17.49, 8.74, 50%, 8.74
Eliza, 17.49, 8.74, 50%, 8.74
Littlewood, 17.49, 8.74, 50%, 8.74
Making it Home, 17.49, 8.74, 50%, 8.74
Rise to Ruins, 17.49, 8.74, 50%, 8.74
SHENZHEN I/O, 17.49, 8.74, 50%, 8.74
ThreatGEN: Red vs. Blue, 17.49, 8.74, 50%, 8.74
Warstone TD, 17.49, 8.74, 50%, 8.74
Battle Chess, 10.99, 8.79, 20%, 8.79
Danganronpa: Trigger Happy Havoc, 21.99, 8.79, 60%, 8.79
Sakura Dungeon, 21.99, 8.79, 60%, 8.79
Skirmish Line Deluxe Edition, 19.56, 8.79, 55%, 8.79
Borderlands 2 Game of the Year, 43.99, 8.80, 79%, 8.80
Reassembly Deluxe Edition, 23.18, 8.80, 62%, 8.80
EVERSPACE™ - Ultimate Edition, 55.97, 8.86, 84%, 8.86
Cathedral, 17.99, 8.99, 50%, 8.99
𝄢Gaia's Melody II: ECHOED MEMORIES, 8.99,0, 0%, 8.99
Pants Quest, 8.99,0, 0%, 8.99
